seed	source_prepared	target_prepared	val_best_pearson	source_test_pearson	source_test_spearman	target_test_pearson	target_test_spearman	n_target_test	source_split_seed	model_seed
4	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed2/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed2	0.6894250244376866	0.5525762367812117	0.4802960649955185	0.010381517221929478	0.014708000739224916	24195	2	4
0	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed3/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed3	0.615000926237536	0.6132487573298362	0.4353989318860513	0.005697086045639523	0.011084714524417064	24195	3	0
1	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed3/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed3	0.5819498755814781	0.6258798830660439	0.4359672709399485	0.004942945242357933	0.016497802239674883	24195	3	1
2	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed3/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed3	0.6095791013429612	0.6057805314445524	0.43977795125336105	0.003973830536181839	0.013237523757161994	24195	3	2
3	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed3/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed3	0.5838032723938437	0.6260774668118685	0.4632525019722522	0.0031712535371269655	0.0184560674960283	24195	3	3
4	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed3/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed3	0.5832101058476944	0.5889804813221631	0.4142266499799677	0.006236514410015191	0.016359882478450275	24195	3	4
0	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed4/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed4	0.5944807942786235	0.6098493447589519	0.46737956870665687	0.013362022595793641	0.007231163030374968	24195	4	0
1	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed4/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed4	0.5799824496651496	0.6130910903737833	0.4561606549116307	0.010293097193689952	0.005958841867451131	24195	4	1
2	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed4/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed4	0.5991655151844839	0.618691890280843	0.4916207162889442	0.017421323659906424	0.011139946723175535	24195	4	2
3	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed4/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed4	0.5849240271353071	0.6308010807949038	0.46928697404887876	0.014628698814923933	0.0057395615444327825	24195	4	3
4	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed4/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed4	0.6221081696749489	0.6231964939306016	0.483454972760203	0.014198960678169413	0.005747384661493785	24195	4	4
