assay	trim	split_seed	model	scope	pearson	spearman	n
HSS	185	split_seed0	onehot_ridge_mean_ens	overall	0.2794667535562447	0.2569668479135735	243.0
HSS	185	split_seed0	onehot_ridge_mean_ens	overall_non_excluded	0.2794667535562447	0.2569668479135735	243.0
HSS	185	split_seed0	onehot_ridge_mean_ens	by_prefix			
HSS	185	split_seed1	cnn_mean_ens	overall	0.6230744433743631	0.37636095178477563	243.0
HSS	185	split_seed1	cnn_mean_ens	overall_non_excluded	0.6230744433743631	0.37636095178477563	243.0
HSS	185	split_seed1	cnn_mean_ens	by_prefix			
HSS	185	split_seed1	kmer_elasticnet_mean_ens	overall	0.5580604680522459	0.28944737318893005	243.0
HSS	185	split_seed1	kmer_elasticnet_mean_ens	overall_non_excluded	0.5580604680522459	0.28944737318893005	243.0
HSS	185	split_seed1	kmer_elasticnet_mean_ens	by_prefix			
HSS	185	split_seed1	kmer_mean_ens	overall	0.5665234912407622	0.2927512499858479	243.0
HSS	185	split_seed1	kmer_mean_ens	overall_non_excluded	0.5665234912407622	0.2927512499858479	243.0
HSS	185	split_seed1	kmer_mean_ens	by_prefix			
HSS	185	split_seed1	onehot_ridge_mean_ens	overall	0.20487978997274991	0.19289731303569033	243.0
HSS	185	split_seed1	onehot_ridge_mean_ens	overall_non_excluded	0.20487978997274991	0.19289731303569033	243.0
HSS	185	split_seed1	onehot_ridge_mean_ens	by_prefix			
HSS	185	split_seed2	cnn_mean_ens	overall	0.6460946984471867	0.4640614761690374	243.0
HSS	185	split_seed2	cnn_mean_ens	overall_non_excluded	0.6460946984471867	0.4640614761690374	243.0
HSS	185	split_seed2	cnn_mean_ens	by_prefix			
HSS	185	split_seed2	kmer_elasticnet_mean_ens	overall	0.5736710757079103	0.40882258363902013	243.0
HSS	185	split_seed2	kmer_elasticnet_mean_ens	overall_non_excluded	0.5736710757079103	0.40882258363902013	243.0
HSS	185	split_seed2	kmer_elasticnet_mean_ens	by_prefix			
HSS	185	split_seed2	kmer_mean_ens	overall	0.5849866843487868	0.4136565094349853	243.0
HSS	185	split_seed2	kmer_mean_ens	overall_non_excluded	0.5849866843487868	0.4136565094349853	243.0
HSS	185	split_seed2	kmer_mean_ens	by_prefix			
HSS	185	split_seed2	onehot_ridge_mean_ens	overall	0.09992869580825466	0.1204697103969367	243.0
HSS	185	split_seed2	onehot_ridge_mean_ens	overall_non_excluded	0.09992869580825466	0.1204697103969367	243.0
HSS	185	split_seed2	onehot_ridge_mean_ens	by_prefix			
HSS	185	split_seed3	cnn_mean_ens	overall	0.6662852178608553	0.41022191743718645	243.0
HSS	185	split_seed3	cnn_mean_ens	overall_non_excluded	0.6662852178608553	0.41022191743718645	243.0
HSS	185	split_seed3	cnn_mean_ens	by_prefix			
HSS	185	split_seed3	kmer_elasticnet_mean_ens	overall	0.5689827627197258	0.2993639788796945	243.0
HSS	185	split_seed3	kmer_elasticnet_mean_ens	overall_non_excluded	0.5689827627197258	0.2993639788796945	243.0
HSS	185	split_seed3	kmer_elasticnet_mean_ens	by_prefix			
HSS	185	split_seed3	kmer_mean_ens	overall	0.584500198557274	0.3006414572085823	243.0
HSS	185	split_seed3	kmer_mean_ens	overall_non_excluded	0.584500198557274	0.3006414572085823	243.0
HSS	185	split_seed3	kmer_mean_ens	by_prefix			
HSS	185	split_seed3	onehot_ridge_mean_ens	overall	0.13344356678724376	0.08003788528339943	243.0
HSS	185	split_seed3	onehot_ridge_mean_ens	overall_non_excluded	0.13344356678724376	0.08003788528339943	243.0
HSS	185	split_seed3	onehot_ridge_mean_ens	by_prefix			
HSS	185	split_seed4	cnn_mean_ens	overall	0.652175846265578	0.5583338525537304	243.0
HSS	185	split_seed4	cnn_mean_ens	overall_non_excluded	0.652175846265578	0.5583338525537304	243.0
HSS	185	split_seed4	cnn_mean_ens	by_prefix			
